Timestamp,Cycle,Countdown Type,LSL Data
1970-01-03 02:35:17.740003,1,First Countdown,"[-21.0, -5.0, 5.0, -48.0, -65.0, -33.0, -33.0, -34.5]"
1970-01-03 02:35:17.744003,1,First Countdown,"[-33.0, -10.0, 35.0, -24.0, -71.0, -37.0, -43.83333206176758, -33.0]"
1970-01-03 02:35:17.748003,1,First Countdown,"[-50.0, -35.0, 35.0, 24.0, -46.0, -23.0, -43.16666793823242, -43.83333206176758]"
1970-01-03 02:35:17.752003,1,First Countdown,"[-69.0, -58.0, 14.0, -8.0, -14.0, -25.0, -42.16666793823242, -43.16666793823242]"
1970-01-03 02:35:17.756003,1,First Countdown,"[-84.0, -26.0, -14.0, -13.0, -18.0, -15.0, -19.16666603088379, -42.16666793823242]"
1970-01-03 02:35:17.760003,1,First Countdown,"[-83.0, -46.0, -8.0, -26.0, -16.0, -29.0, 2.0, -19.16666603088379]"
1970-01-03 02:35:17.764003,1,First Countdown,"[-20.0, -40.0, -23.0, -34.0, -25.0, -22.0, -8.5, 2.0]"
1970-01-03 02:35:17.768003,1,First Countdown,"[-24.0, 31.0, -1.0, -33.0, -27.0, -34.0, -17.5, -8.5]"
1970-01-03 02:35:17.772003,1,First Countdown,"[-13.0, -1.0, 9.0, -33.0, -44.0, -34.0, -34.5, -17.5]"
1970-01-03 02:35:17.740777,1,First Countdown,"[-21.0, -5.0, 5.0, -12.0, -65.0, -33.0, -33.0, -34.5]"
1970-01-03 02:35:17.744777,1,First Countdown,"[-33.0, -10.0, 35.0, -24.0, -26.0, -37.0, -43.83333206176758, -33.0]"
1970-01-03 02:35:17.748777,1,First Countdown,"[-50.0, -35.0, 35.0, 24.0, -46.0, 2.0, -43.16666793823242, -43.83333206176758]"
1970-01-03 02:35:17.752777,1,First Countdown,"[-69.0, -58.0, 14.0, -8.0, -14.0, -25.0, -2.6666667461395264, -43.16666793823242]"
1970-01-03 02:35:17.756777,1,First Countdown,"[-84.0, -26.0, -14.0, -13.0, -18.0, -15.0, -19.16666603088379, -2.6666667461395264]"
1970-01-03 02:35:17.760777,1,First Countdown,"[16.0, -46.0, -8.0, -26.0, -16.0, -29.0, 2.0, -19.16666603088379]"
1970-01-03 02:35:17.764777,1,First Countdown,"[-20.0, 8.0, -23.0, -34.0, -25.0, -22.0, -8.5, 2.0]"
1970-01-03 02:35:17.768777,1,First Countdown,"[-24.0, 31.0, -6.0, -33.0, -27.0, -34.0, -17.5, -8.5]"
1970-01-03 02:35:17.772777,1,First Countdown,"[-13.0, -1.0, 9.0, -1.0, -44.0, -34.0, -34.5, -17.5]"
1970-01-03 02:35:17.741150,1,First Countdown,"[-21.0, -5.0, 5.0, -12.0, -22.0, -33.0, -33.0, -34.5]"
1970-01-03 02:35:17.745150,1,First Countdown,"[-33.0, -10.0, 35.0, -24.0, -26.0, -4.0, -43.83333206176758, -33.0]"
1970-01-03 02:35:17.749150,1,Second Countdown,"[-50.0, -35.0, 35.0, 24.0, -46.0, 2.0, -1.5, -43.83333206176758]"
1970-01-03 02:35:17.753150,1,Second Countdown,"[-69.0, -58.0, 14.0, -8.0, -14.0, -25.0, -2.6666667461395264, -1.5]"
1970-01-03 02:35:17.757150,1,Second Countdown,"[-5.0, -26.0, -14.0, -13.0, -18.0, -15.0, -19.16666603088379, -2.6666667461395264]"
1970-01-03 02:35:17.761150,1,Second Countdown,"[16.0, -10.0, -8.0, -26.0, -16.0, -29.0, 2.0, -19.16666603088379]"
1970-01-03 02:35:17.765150,1,Second Countdown,"[-20.0, 8.0, 12.0, -34.0, -25.0, -22.0, -8.5, 2.0]"
1970-01-03 02:35:17.769150,1,Third Countdown,"[-24.0, 31.0, -6.0, -21.0, -27.0, -34.0, -17.5, -8.5]"
1970-01-03 02:35:17.773150,1,Third Countdown,"[-13.0, -1.0, 9.0, -1.0, -26.0, -34.0, -34.5, -17.5]"
1970-01-03 02:35:17.753562,1,Third Countdown,"[-21.0, -5.0, 5.0, -12.0, -22.0, -24.0, -33.0, -34.5]"
1970-01-03 02:35:17.757562,1,Third Countdown,"[-33.0, -10.0, 35.0, -24.0, -26.0, -4.0, -12.333333015441895, -33.0]"
1970-01-03 02:35:17.761562,1,Third Countdown,"[-50.0, -35.0, 35.0, 24.0, -46.0, 2.0, -1.5, -12.333333015441895]"
1970-01-03 02:35:17.765562,1,Fourth Countdown,"[7.0, -58.0, 14.0, -8.0, -14.0, -25.0, -2.6666667461395264, -1.5]"
1970-01-03 02:35:17.769562,1,Fourth Countdown,"[-5.0, -4.0, -14.0, -13.0, -18.0, -15.0, -19.16666603088379, -2.6666667461395264]"
1970-01-03 02:35:17.773562,1,Fourth Countdown,"[16.0, -10.0, 18.0, -26.0, -16.0, -29.0, 2.0, -19.16666603088379]"
1970-01-03 02:35:17.777562,1,Fourth Countdown,"[-20.0, 8.0, 12.0, 2.0, -25.0, -22.0, -8.5, 2.0]"
1970-01-03 02:35:17.781562,1,Fourth Countdown,"[-24.0, 31.0, -6.0, -21.0, -3.0, -34.0, -17.5, -8.5]"
1970-01-03 02:35:17.785562,1,Fifth Countdown,"[-13.0, -1.0, 9.0, -1.0, -26.0, -1.0, -34.5, -17.5]"
1970-01-03 02:35:17.754086,1,Fifth Countdown,"[-21.0, -5.0, 5.0, -12.0, -22.0, -24.0, 3.1666667461395264, -34.5]"
1970-01-03 02:35:17.758086,1,Fifth Countdown,"[-33.0, -10.0, 35.0, -24.0, -26.0, -4.0, -12.333333015441895, 3.1666667461395264]"
1970-01-03 02:35:17.762086,1,Fifth Countdown,"[22.0, -35.0, 35.0, 24.0, -46.0, 2.0, -1.5, -12.333333015441895]"
1970-01-03 02:35:17.970919,1,Fifth Countdown,"[-80.0, -45.0, -35.0, -43.0, 4.0, 18.0, 21.5, -59.0]"
1970-01-03 02:35:19.971914,2,First Countdown,"[3.0, 10.0, 42.0, 17.0, -14.0, 7.0, 13.833333015441895, -7.0]"
1970-01-03 02:35:20.964006,2,First Countdown,"[-9.0, -37.0, -9.0, -6.0, -14.0, 15.0, 17.66666603088379, 9.166666984558105]"
1970-01-03 02:35:21.977131,2,First Countdown,"[5.0, 24.0, 55.0, 62.0, 77.0, 53.0, 45.33333206176758, 16.83333396911621]"
1970-01-03 02:35:22.966992,2,First Countdown,"[26.0, -20.0, -19.0, -2.0, 28.0, -21.0, -11.833333015441895, -20.0]"
1970-01-03 02:35:23.974185,2,First Countdown,"[-51.0, 8.0, -6.0, 0.0, 7.0, -17.0, -42.83333206176758, -64.0]"
1970-01-03 02:35:24.974511,2,First Countdown,"[-17.0, 42.0, 8.0, -9.0, -19.0, -7.0, 26.16666603088379, -2.8333332538604736]"
1970-01-03 02:35:25.971430,2,First Countdown,"[-8.0, 10.0, 3.0, -46.0, -46.0, -21.0, -0.8333333134651184, -3.6666667461395264]"
1970-01-03 02:35:26.980187,2,First Countdown,"[48.0, 40.0, 5.0, 53.0, 95.0, 53.0, 48.0, 52.83333206176758]"
1970-01-03 02:35:27.978474,2,First Countdown,"[16.0, 6.0, 16.0, -29.0, -34.0, 21.0, 7.833333492279053, 25.33333396911621]"
